127.0.0.1 - - [26/Sep/2023:11:26:20 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:24 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/CSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/imgs/Logo_Cl%C3%ADnica-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/imgs/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/imgs/icon-consulta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/imgs/icon-fisio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/imgs/icon-exame.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/imgs/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/imgs/icon-Cirurgias.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:25 -0300] "GET /Clinica/index/imgs/Logo_Cl%C3%ADnica-removebg-preview.png HTTP/1.1" 200 52623
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:26 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:32 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:32 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:32 -0300] "GET /Clinica/index/imgs/img3.jpg HTTP/1.1" 200 315552
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:32 -0300] "GET /Clinica/index/imgs/icon-exame.png HTTP/1.1" 200 20201
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:32 -0300] "GET /Clinica/index/imgs/img1.jpg HTTP/1.1" 200 274403
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:33 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:33 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:34 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:34 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:34 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:34 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:34 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:34 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:34 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:34 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:35 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
