127.0.0.1 - - [03/Oct/2023:09:02:09 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:19 -0300] "GET /Clinica/ADM/ADM_Lista.jsp HTTP/1.1" 200 48275
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:19 -0300] "GET /Clinica/ADM/wasds.css HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:19 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/index.html HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/CSS.css HTTP/1.1" 200 8272
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/script.js HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/imgs/Logo_Cl%C3%ADnica-removebg-preview.png HTTP/1.1" 200 52623
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/imgs/img3.jpg HTTP/1.1" 200 315552
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/imgs/img1.jpg HTTP/1.1" 200 274403
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/imgs/icon-Cirurgias.png HTTP/1.1" 200 16242
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/imgs/icon-consulta.png HTTP/1.1" 200 13180
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/imgs/icon-exame.png HTTP/1.1" 200 20201
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:31 -0300] "GET /Clinica/index/imgs/icon-fisio.png HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:41 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:02:41 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:03:14 -0300] "POST /Clinica/User/Entrar.jsp HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [03/Oct/2023:09:03:14 -0300] "POST /Clinica/index/Logado/Tela_de_Logado.jsp HTTP/1.1" 200 10596
